id,uuid,location,resolution,producer,operating_system,ip
2442,i2mRYJ,Warsaw,"Full HD",Samsung,Linux,66.132.133.87
2443,BwQVHTLN68,Paris,4K,LG,Android,147.61.44.51
2444,87yPQ,Berlin,4K,LG,Linux,250.221.110.170
2445,2Hb9NJ,Paris,4K,Samsung,Android,116.146.56.154
2446,SZp5EtQkvf,Paris,"Full HD",Philips,Linux,167.113.116.33
2447,7BKwrGhg6,Amsterdam,4K,Sencor,Ubuntu,84.137.170.207
2448,5uMYh0P,Warsaw,4K,Philips,Linux,175.24.169.122
2449,vdAZi2,Paris,4K,Philips,Ubuntu,124.2.5.184
2450,EVopv,Berlin,4K,Samsung,Ubuntu,195.148.203.34
2451,lwAFVDLub,Amsterdam,"Full HD",Philips,Android,189.79.107.94
2452,5g3PVI,Berlin,"Full HD",Philips,Linux,155.172.87.22
2453,5Ms2chxP,Berlin,4K,LG,Linux,103.227.135.13
2454,DHz908,Amsterdam,"Full HD",Samsung,Ubuntu,32.83.101.19
2455,HyPRtk6V,Warsaw,"Full HD",Philips,Ubuntu,146.188.106.23
2456,P9dU3E7h,Paris,"Full HD",LG,Linux,101.107.194.0
2457,SnAEO,Berlin,4K,Philips,Linux,125.116.199.130
2458,Q15Wd7,Berlin,"Full HD",Samsung,Android,100.114.19.113
2459,ejbaB2,Amsterdam,"Full HD",Samsung,Linux,41.52.106.155
2460,n0xTj7Gkrc,Paris,4K,Philips,Ubuntu,131.253.129.14
2461,SgiX87J,Warsaw,"Full HD",Sencor,Ubuntu,67.219.80.208
2462,gsiGEoDN,Berlin,"Full HD",Philips,Android,197.11.138.216
2463,Q4FKk5,Warsaw,"Full HD",Sencor,Ubuntu,55.53.252.121
2464,8ElUpk,Warsaw,4K,Sencor,Ubuntu,252.177.32.201
2465,S1X2mfuNg,Amsterdam,"Full HD",LG,Android,16.5.232.83
2466,TUp2rXOEac,Berlin,4K,Philips,Android,195.7.172.164
2467,amc2WT4Lj,Amsterdam,"Full HD",Samsung,Ubuntu,39.97.252.37
2468,5rkhl,Paris,4K,LG,Linux,207.27.43.173
2469,rMPLhUcE5X,Warsaw,"Full HD",Samsung,Ubuntu,152.104.113.115
2470,ZEOqt8,Amsterdam,4K,Samsung,Ubuntu,195.233.132.31
2471,Nik4VGuJw,Berlin,"Full HD",Sencor,Android,121.173.219.182
2472,Lce0pwBdG,Paris,4K,Sencor,Ubuntu,113.148.173.37
2473,Cd6YLb,Amsterdam,"Full HD",Sencor,Ubuntu,101.20.3.98
2474,12N7W,Warsaw,4K,Samsung,Android,92.237.79.116
2475,QLHfPwA,Warsaw,4K,Sencor,Android,171.97.165.109
2476,tSU4oMx,Warsaw,"Full HD",Samsung,Linux,13.164.17.42
2477,4kGKf,Berlin,"Full HD",Philips,Ubuntu,246.183.170.29
2478,NSwTysvp,Amsterdam,4K,Philips,Ubuntu,78.173.187.182
2479,K9LUAWC8,Warsaw,4K,LG,Linux,172.76.218.95
2480,aCHEKhm,Warsaw,4K,Sencor,Android,38.227.187.232
2481,0bDyjmewf,Warsaw,4K,Philips,Android,153.191.73.235
2482,FvKDVt,Amsterdam,"Full HD",LG,Linux,54.179.161.198
2483,BCG9lwNug,Amsterdam,4K,Sencor,Linux,248.117.159.151
2484,5APogy,Amsterdam,4K,Sencor,Ubuntu,32.19.75.206
2485,Zf24ADCzwq,Amsterdam,"Full HD",LG,Ubuntu,78.216.236.97
2486,mNKJl,Amsterdam,4K,Samsung,Linux,122.26.107.204
2487,mtASh,Warsaw,"Full HD",Samsung,Android,38.195.156.208
2488,0nyCIc2U,Berlin,"Full HD",LG,Linux,38.143.191.183
2489,tHyksUj,Berlin,"Full HD",LG,Linux,69.158.148.74
2490,iTS6FeL,Warsaw,4K,Sencor,Android,185.27.215.185
2491,IeDuc,Paris,4K,Philips,Ubuntu,244.91.201.253
2492,TGz8cqK,Paris,"Full HD",Sencor,Ubuntu,34.1.48.194
2493,TVHxQaN,Amsterdam,"Full HD",Samsung,Ubuntu,237.162.58.61
2494,SqKO1z,Amsterdam,"Full HD",Sencor,Ubuntu,136.67.67.96
2495,fWQAavq6,Amsterdam,"Full HD",Samsung,Android,226.71.187.2
2496,YIBel,Warsaw,"Full HD",LG,Android,47.8.155.209
2497,gOVwmEUu,Warsaw,"Full HD",Samsung,Linux,102.78.107.46
2498,yRnZf3W,Warsaw,4K,Philips,Linux,147.252.85.71
2499,Jl1hAkiqb,Warsaw,4K,Philips,Linux,112.13.100.38
2500,Wpv6kLXt4,Warsaw,4K,Philips,Android,155.87.165.93
2501,kPJRKsaXZm,Warsaw,4K,LG,Android,35.143.67.82
2502,r57tiezd,Paris,"Full HD",LG,Android,11.93.115.187
2503,F2kr6Q,Warsaw,4K,Sencor,Linux,19.121.97.152
2504,bj6SKy,Berlin,4K,LG,Linux,145.30.102.138
2505,WNE5bZL8h,Amsterdam,"Full HD",Sencor,Linux,192.108.11.116
2506,fC1bB,Amsterdam,"Full HD",Sencor,Ubuntu,254.164.164.170
2507,WsPu2LY,Paris,4K,Samsung,Linux,152.126.77.177
2508,REWAI,Paris,4K,Philips,Ubuntu,49.188.151.139
2509,v9MDuXm,Amsterdam,"Full HD",Philips,Ubuntu,102.129.153.100
2510,CoD9hxcYQ,Berlin,"Full HD",Philips,Linux,189.97.143.3
2511,jifzWM,Berlin,4K,Philips,Android,15.64.143.126
2512,bLA1es,Warsaw,"Full HD",LG,Android,71.81.162.57
2513,qBLxJ,Amsterdam,"Full HD",Philips,Ubuntu,115.193.134.39
2514,5qyI0i,Berlin,4K,Philips,Linux,36.72.190.34
2515,jgAYyqmQhL,Amsterdam,4K,Sencor,Ubuntu,4.76.196.197
2516,MA3CVxNd,Warsaw,"Full HD",Philips,Android,50.154.233.58
2517,GYDFj,Berlin,"Full HD",Samsung,Linux,164.51.122.0
2518,3UPGhV0X6,Paris,4K,Samsung,Ubuntu,80.14.15.108
2519,PLrGN,Warsaw,4K,Samsung,Android,118.50.20.201
2520,WKu6ba1D,Warsaw,"Full HD",Samsung,Android,154.39.227.33
2521,foYCNVzM2,Berlin,4K,Samsung,Android,1.58.190.13
2522,VwRNAHDz,Berlin,"Full HD",Philips,Ubuntu,43.96.254.99
2523,LVhg9eZP,Berlin,4K,LG,Ubuntu,206.74.23.114
2524,iuUEQpWn,Paris,4K,Samsung,Android,208.55.129.124
2525,Hyz29qf7,Paris,"Full HD",Sencor,Android,81.125.115.252
2526,zBDVmdURjK,Berlin,4K,LG,Android,192.219.128.225
2527,Zv6DWR,Amsterdam,4K,Samsung,Android,83.76.160.200
2528,5YI6QcV,Amsterdam,"Full HD",LG,Linux,88.62.48.151
2529,YVCrlgmW5,Berlin,"Full HD",Sencor,Ubuntu,147.137.62.223
2530,K2HMBc09xS,Berlin,"Full HD",Sencor,Ubuntu,159.7.252.219
2531,8KWJoG,Paris,"Full HD",Sencor,Android,29.109.14.102
2532,ALSO5eM,Amsterdam,"Full HD",Samsung,Android,19.99.178.154
2533,OZaumfC,Warsaw,4K,LG,Android,17.92.131.21
2534,JD4KP870E,Warsaw,"Full HD",LG,Ubuntu,77.157.237.146
2535,qsjv78NiY,Warsaw,4K,Philips,Linux,214.233.154.30
2536,Oz318R,Warsaw,"Full HD",LG,Android,241.104.4.35
2537,BVqDlGp8w,Berlin,"Full HD",LG,Android,203.152.152.131
2538,LMT8d40P,Paris,"Full HD",Samsung,Linux,48.139.56.138
2539,94ECOjoUsJ,Amsterdam,4K,Samsung,Linux,243.129.50.187
2540,rzaMWuI5G,Berlin,"Full HD",Sencor,Android,164.138.72.141
2541,vap7is,Paris,4K,Philips,Ubuntu,85.46.57.59
2542,ONTXhZlKpb,Warsaw,"Full HD",Samsung,Ubuntu,232.114.2.213
2543,IaAYOUVu,Berlin,"Full HD",Samsung,Ubuntu,233.188.28.64
2544,ymsTh3,Amsterdam,4K,LG,Android,208.99.145.103
2545,yfDSzd8J,Berlin,"Full HD",LG,Android,169.198.221.176
2546,xBNlRXHPU,Warsaw,4K,Sencor,Ubuntu,105.129.237.184
2547,YkzRX,Paris,"Full HD",Samsung,Ubuntu,227.157.71.137
2548,cC5mWsF,Berlin,"Full HD",Samsung,Linux,111.121.189.213
2549,hl6mF,Amsterdam,"Full HD",Sencor,Android,113.97.149.83
2550,CLh0e9Mcf,Amsterdam,"Full HD",LG,Android,72.95.133.135
2551,JZ6L4QuDE,Warsaw,4K,Philips,Ubuntu,30.44.167.125
2552,Okcgo,Paris,4K,Samsung,Ubuntu,114.17.238.226
2553,ywgBokm,Berlin,4K,Philips,Linux,78.188.179.82
2554,FDbwu,Paris,4K,Sencor,Android,234.85.248.11
2555,J46gAu,Warsaw,4K,Sencor,Android,46.198.191.195
2556,IbraPvt,Amsterdam,4K,LG,Android,96.14.232.6
2557,fOIL6H,Paris,4K,LG,Ubuntu,215.128.230.85
2558,KFNkCfS,Amsterdam,"Full HD",Philips,Linux,77.59.154.176
2559,rCqZOV,Paris,"Full HD",Philips,Ubuntu,108.226.223.213
2560,JfAtFcDN,Warsaw,"Full HD",Philips,Ubuntu,252.121.142.239
2561,75Lwh3QGrl,Berlin,"Full HD",Samsung,Linux,176.180.102.13
2562,NKJQ0FzItP,Paris,"Full HD",LG,Linux,148.38.189.73
2563,oTRwLWmF,Berlin,4K,LG,Ubuntu,152.56.108.137
2564,LTx8i,Paris,4K,Philips,Ubuntu,15.11.65.236
2565,uatDrHC,Berlin,"Full HD",Sencor,Linux,244.255.111.108
2566,LlivFSWUPj,Warsaw,"Full HD",Sencor,Android,144.35.159.30
2567,dPwyVxIL,Amsterdam,"Full HD",LG,Linux,160.150.186.221
2568,scGq8VL2Y,Amsterdam,"Full HD",LG,Ubuntu,111.166.94.193
2569,5oGSuziF6,Warsaw,4K,Philips,Linux,214.7.115.86
2570,w2s47KS,Paris,4K,Samsung,Ubuntu,94.238.87.103
2571,2BTEW7,Paris,"Full HD",Sencor,Android,130.40.24.165
2572,nLBlS4DW17,Amsterdam,"Full HD",Philips,Linux,52.188.228.86
2573,pBMgGy,Amsterdam,"Full HD",Samsung,Android,224.82.234.227
2574,BbwedkV7ic,Berlin,"Full HD",LG,Ubuntu,192.255.41.178
2575,AzOLv8,Amsterdam,"Full HD",Philips,Android,236.139.144.147
2576,3W1j9oJT,Warsaw,4K,Sencor,Ubuntu,245.235.66.28
2577,FNaCDtA,Paris,4K,Samsung,Ubuntu,149.37.4.118
2578,FDvyP,Amsterdam,4K,Samsung,Android,217.44.220.49
2579,To9zBWcU,Paris,4K,Samsung,Linux,76.252.67.201
2580,rvINWK4Fi,Warsaw,"Full HD",LG,Linux,229.69.182.119
2581,yJd9Un3w57,Paris,4K,LG,Android,54.113.169.232
2582,eSdjv3,Berlin,4K,Philips,Linux,160.145.226.131
2583,tFuLZ,Berlin,"Full HD",Samsung,Android,71.250.25.114
2584,pAO17ixtYd,Berlin,4K,Philips,Linux,234.3.77.187
2585,5jxuTC3zqQ,Berlin,4K,Philips,Android,133.99.255.65
2586,PAK9V,Warsaw,"Full HD",Samsung,Ubuntu,238.64.129.225
2587,sW5LXTthg,Berlin,4K,LG,Android,224.151.146.215
2588,0Iyzat,Paris,"Full HD",Samsung,Linux,240.231.151.20
2589,jx2RcUV8AZ,Amsterdam,"Full HD",Sencor,Ubuntu,217.39.78.9
2590,AXIKNR3dh,Paris,"Full HD",Philips,Linux,120.234.219.72
2591,vcCej,Amsterdam,4K,Sencor,Linux,186.123.119.185
2592,S619tNX,Paris,"Full HD",LG,Android,1.129.193.239
2593,LrDCey2,Warsaw,4K,Sencor,Linux,148.51.130.248
2594,lfbX9,Amsterdam,4K,Philips,Android,201.230.50.185
2595,hbGxs8S,Berlin,4K,Sencor,Linux,206.65.18.247
2596,SAcWQ,Berlin,4K,Sencor,Ubuntu,129.153.150.168
2597,WHMnTL,Warsaw,4K,Philips,Ubuntu,39.19.172.216
2598,GB2xH,Warsaw,4K,Philips,Android,229.200.146.246
2599,QS7cvGJr,Warsaw,4K,Sencor,Android,73.233.37.231
2600,6Y9i2e4,Warsaw,"Full HD",LG,Linux,119.70.253.106
2601,2wiVYyFA,Paris,4K,Samsung,Linux,72.236.240.140
2602,De6uJ,Amsterdam,"Full HD",Philips,Ubuntu,229.76.173.223
2603,jEtz5O,Paris,4K,LG,Android,2.204.13.157
2604,niprU,Berlin,4K,Philips,Linux,213.200.181.158
2605,aSd1vC,Warsaw,4K,Sencor,Android,234.36.48.12
2606,pDw9NHRX,Warsaw,"Full HD",Philips,Ubuntu,212.80.177.34
2607,1EZDhT,Berlin,"Full HD",Sencor,Android,113.32.252.237
2608,8t6hBkRT4,Warsaw,"Full HD",Philips,Ubuntu,125.147.63.184
2609,NK217,Paris,4K,Philips,Linux,48.228.229.200
2610,x4yHSFfI,Berlin,"Full HD",LG,Ubuntu,185.148.9.41
2611,gBSkLp15r,Paris,"Full HD",Philips,Ubuntu,34.72.198.191
2612,TQ4jPCB,Amsterdam,"Full HD",Samsung,Linux,166.148.130.2
2613,0jN5k,Berlin,4K,Sencor,Linux,169.249.91.229
2614,yv9LbSa,Amsterdam,"Full HD",Philips,Linux,111.140.235.109
2615,qUC41rG,Warsaw,"Full HD",Samsung,Linux,78.217.191.95
2616,bqrn6AaIyH,Amsterdam,4K,Sencor,Ubuntu,211.103.68.192
2617,U5ez4W9q,Amsterdam,"Full HD",Samsung,Android,162.17.82.169
2618,gQxiHERuw,Warsaw,"Full HD",LG,Ubuntu,254.147.132.197
2619,fMHtgaZR6z,Berlin,"Full HD",Philips,Android,240.152.72.207
2620,QOzdIBi2,Amsterdam,"Full HD",Samsung,Android,98.2.165.19
2621,AjxpdKm5Jt,Paris,"Full HD",LG,Linux,57.45.182.189
2622,HkQ8oSNCJz,Paris,"Full HD",Sencor,Android,61.211.26.31
2623,Wqd9Bo,Warsaw,4K,Sencor,Linux,123.145.158.182
2624,3ALwOtae,Warsaw,"Full HD",Philips,Ubuntu,129.114.154.182
2625,Nq8pc,Berlin,4K,LG,Ubuntu,80.80.235.230
2626,afQ7Y3FbI,Amsterdam,"Full HD",Sencor,Android,86.99.178.161
2627,K2zDmFe7M,Warsaw,4K,Samsung,Linux,157.111.41.138
2628,SPCRt8n3,Berlin,"Full HD",LG,Linux,227.106.110.165
2629,XPAguCS,Amsterdam,4K,Philips,Linux,247.135.252.33
2630,26Rxt,Warsaw,"Full HD",LG,Linux,13.250.54.232
2631,Sv4whE7,Amsterdam,4K,Samsung,Android,65.85.38.153
2632,FqAlmkT,Amsterdam,4K,Sencor,Android,130.24.230.158
2633,7pkfvA,Berlin,4K,LG,Ubuntu,152.226.251.146
2634,le9KwZVpn,Warsaw,4K,LG,Ubuntu,69.169.83.209
2635,JcNYHB,Berlin,"Full HD",Philips,Ubuntu,2.209.223.78
2636,2OPHEnVzZ,Warsaw,4K,Philips,Ubuntu,28.9.150.178
2637,XOiawho,Amsterdam,"Full HD",Sencor,Linux,27.49.80.169
2638,qe8t42vxa,Warsaw,"Full HD",Samsung,Linux,106.41.172.113
2639,o34Fefglxw,Paris,4K,Philips,Ubuntu,66.46.129.172
2640,Axi8vc,Berlin,"Full HD",Philips,Android,60.184.233.55
2641,VSHei,Berlin,"Full HD",Samsung,Android,149.94.99.149
2642,UHb9nD,Amsterdam,"Full HD",Sencor,Android,249.127.121.123
2643,ETCKdw21,Warsaw,4K,Sencor,Ubuntu,120.18.11.143
2644,XykvE,Paris,4K,Sencor,Ubuntu,127.186.244.68
2645,HAix0q6eY1,Warsaw,4K,Philips,Ubuntu,174.60.224.22
2646,9aiV6,Amsterdam,4K,LG,Linux,136.123.103.10
2647,nk4i95PUo,Berlin,"Full HD",Samsung,Linux,110.63.146.211
2648,0MCeVoshk,Paris,4K,Sencor,Linux,45.132.42.124
2649,HzDMIGc,Paris,4K,LG,Linux,205.66.72.48
2650,jlP9ogrQ,Amsterdam,"Full HD",Samsung,Ubuntu,28.31.195.122
2651,NrLB1,Warsaw,4K,Philips,Android,230.108.105.14
2652,R0HYtoT,Amsterdam,4K,Sencor,Linux,207.209.50.5
2653,9cWLJnTfl,Paris,4K,Sencor,Linux,71.240.97.105
2654,uFzYKwqec,Berlin,"Full HD",Philips,Android,202.22.233.138
2655,kUJDdo,Warsaw,"Full HD",Samsung,Ubuntu,47.76.172.239
2656,7bYWXu6,Warsaw,4K,Samsung,Ubuntu,43.197.130.235
2657,CSLYu6Q,Amsterdam,4K,Sencor,Linux,166.7.247.214
2658,S8buZqUI,Warsaw,4K,Sencor,Android,107.208.255.41
2659,dyE5vGSMX,Berlin,4K,Samsung,Ubuntu,167.91.103.210
2660,cwWT0Sa,Warsaw,"Full HD",Philips,Ubuntu,48.244.173.4
2661,dUa3iHw,Paris,4K,Philips,Android,223.181.94.236
2662,GDJhb,Paris,"Full HD",Sencor,Ubuntu,228.229.230.17
2663,d3t0FJqVP,Paris,"Full HD",Philips,Linux,82.115.139.224
2664,Ke2Rv,Amsterdam,"Full HD",Samsung,Android,72.143.146.125
2665,WiKu8Y,Warsaw,"Full HD",Samsung,Ubuntu,193.199.142.73
2666,VzNGDi,Warsaw,4K,Samsung,Android,158.255.236.131
2667,VHt20wEJWr,Warsaw,4K,Samsung,Ubuntu,77.77.0.186
2668,ATjc7GL8,Paris,4K,Samsung,Android,135.5.134.161
2669,WbyVo,Berlin,"Full HD",Samsung,Linux,243.82.23.179
2670,IuKxkDy,Paris,"Full HD",Philips,Android,17.141.68.34
2671,vem7W,Warsaw,4K,Samsung,Linux,228.13.34.250
2672,uSp3X6n,Warsaw,4K,LG,Ubuntu,215.16.247.144
2673,Fm7siXUO,Berlin,"Full HD",Sencor,Ubuntu,222.155.224.215
2674,uB2RVm0,Berlin,4K,Samsung,Linux,204.177.236.22
2675,pxf1k5sBb,Paris,"Full HD",Philips,Linux,97.101.131.89
2676,0rSiI5PQ,Warsaw,"Full HD",Philips,Ubuntu,94.1.101.48
2677,ld5Z3,Amsterdam,4K,Sencor,Linux,248.19.215.134
2678,S7q42LGtc,Paris,4K,Samsung,Android,17.99.83.129
2679,1j6iw,Berlin,4K,LG,Android,248.135.86.244
2680,lMAgm04,Warsaw,4K,Samsung,Android,182.109.49.30
2681,BzELeDwi21,Amsterdam,4K,Sencor,Linux,180.70.143.77
2682,VO1rCtS,Berlin,"Full HD",Philips,Ubuntu,253.108.238.128
2683,K0rkmBnIhG,Paris,4K,Samsung,Linux,76.83.154.99
2684,7gtH9YZcW,Paris,"Full HD",Philips,Android,106.103.234.2
2685,oyNBHKAzZ7,Amsterdam,"Full HD",Sencor,Linux,128.206.195.43
2686,u569TAzm,Paris,4K,LG,Android,9.14.122.174
2687,prBDtv9Yq,Berlin,"Full HD",LG,Linux,65.27.57.14
2688,4T3uPVb,Warsaw,"Full HD",Samsung,Ubuntu,243.127.171.53
2689,gXSLkJt,Berlin,"Full HD",Philips,Android,72.82.252.43
2690,HzX5wB4Yt,Paris,"Full HD",Philips,Android,52.125.126.202
2691,MhS34,Berlin,"Full HD",Samsung,Android,184.203.235.99
2692,9HBgqKsvo,Amsterdam,"Full HD",LG,Linux,87.195.137.149
2693,dmVxM,Paris,"Full HD",Sencor,Ubuntu,250.224.152.97
2694,0Bhv3idP7,Amsterdam,4K,Philips,Android,128.43.86.63
2695,ve5UW6Y1Ry,Berlin,4K,Philips,Android,230.209.137.65
2696,np5hTD,Berlin,4K,Philips,Linux,250.118.137.158
2697,kPa2E,Berlin,4K,Philips,Android,47.176.42.81
2698,4QbI6mCu9l,Berlin,4K,Philips,Android,138.13.188.119
2699,ldB3artMb,Amsterdam,4K,LG,Ubuntu,124.92.215.15
2700,qTNj1JP,Amsterdam,4K,LG,Ubuntu,144.33.147.192
2701,eYwBc,Berlin,4K,Sencor,Linux,106.103.161.232
2702,jqcSy72i,Berlin,4K,Sencor,Linux,71.225.96.61
2703,nJ5wN7,Berlin,4K,Samsung,Linux,183.86.230.185
2704,8vcIAg,Warsaw,"Full HD",Sencor,Ubuntu,92.151.78.201
2705,BYx4P5f,Warsaw,4K,LG,Ubuntu,25.101.157.166
2706,axJZzFd,Amsterdam,"Full HD",LG,Ubuntu,75.193.20.31
2707,guiRGE,Paris,"Full HD",LG,Android,147.235.78.254
2708,VehC2G8,Berlin,4K,Philips,Linux,156.13.40.70
2709,eydiQbZ,Warsaw,"Full HD",LG,Android,24.109.95.241
2710,Wxnui,Berlin,4K,Philips,Ubuntu,109.184.136.228
2711,dqRMGP,Warsaw,"Full HD",Sencor,Linux,90.111.106.196
2712,U21LPdFi,Amsterdam,"Full HD",Sencor,Android,156.131.253.136
2713,PVN8OyC,Berlin,4K,Sencor,Ubuntu,154.141.201.181
2714,Y5kVf,Amsterdam,"Full HD",Philips,Ubuntu,99.133.128.55
2715,f5BbXceg,Paris,"Full HD",LG,Linux,246.193.200.196
2716,Jqw4FNjc,Warsaw,"Full HD",Sencor,Ubuntu,188.50.54.152
2717,3v4iDyg6,Paris,4K,Philips,Android,79.26.72.102
2718,QPtkGsl7bZ,Berlin,"Full HD",Sencor,Android,234.105.65.137
2719,DBiEr97G4k,Amsterdam,4K,Samsung,Android,139.185.252.202
2720,Yml2tLA1Z4,Paris,4K,Philips,Linux,74.197.242.132
2721,936CFjzGq,Warsaw,4K,LG,Linux,231.202.231.9
2722,UXP7K,Berlin,"Full HD",Samsung,Ubuntu,244.142.76.5
2723,jVNqsgdP2,Berlin,4K,Sencor,Android,69.222.179.236
2724,3jRTdB,Paris,"Full HD",Sencor,Android,58.2.115.37
2725,T3oSZC2dm,Warsaw,4K,Sencor,Android,51.73.135.225
2726,1MaFpdU,Paris,4K,Sencor,Android,235.11.193.170
2727,0M2n3BuGA,Amsterdam,"Full HD",Sencor,Linux,246.248.53.118
2728,CwYnpNK,Warsaw,"Full HD",Sencor,Ubuntu,22.68.178.113
2729,GJudR7Z,Berlin,"Full HD",Samsung,Linux,43.24.97.124
2730,F5pPx,Warsaw,"Full HD",Samsung,Ubuntu,245.34.161.106
2731,ZkyJ4XNDL,Paris,"Full HD",Philips,Linux,125.177.187.90
2732,yew7RN5BrO,Paris,"Full HD",Sencor,Linux,47.144.217.25
2733,lowv3sAX0M,Paris,"Full HD",Philips,Ubuntu,4.254.186.35
2734,t35kLd8W7,Amsterdam,"Full HD",Sencor,Android,151.254.5.35
2735,s5Ag0pq,Paris,4K,Sencor,Linux,212.106.60.174
2736,dNyAw,Warsaw,4K,Samsung,Linux,94.72.200.119
2737,JCxe43XP,Warsaw,"Full HD",Samsung,Android,220.120.19.28
2738,WA4tL,Paris,4K,Samsung,Linux,179.211.222.95
2739,EirWL4nT,Berlin,4K,LG,Android,167.214.96.142
2740,ldGcxaMw,Paris,4K,Philips,Android,114.10.157.73
2741,7V2aD,Amsterdam,"Full HD",Sencor,Linux,83.129.202.80
2742,ONTPQ,Amsterdam,"Full HD",Sencor,Linux,16.198.252.90
2743,4vibq,Berlin,4K,LG,Ubuntu,232.241.49.3
2744,L0ZsPdNlXk,Amsterdam,"Full HD",Sencor,Linux,121.228.74.79
2745,DCyosQ9,Warsaw,4K,Philips,Ubuntu,205.94.217.209
2746,TABoa,Berlin,4K,Philips,Ubuntu,116.4.234.87
2747,sfONuHTMGb,Berlin,4K,LG,Linux,174.91.39.0
2748,e7fn2,Amsterdam,4K,LG,Ubuntu,101.129.199.21
2749,wagPZu0,Amsterdam,"Full HD",LG,Ubuntu,190.38.113.209
2750,hY0auV,Paris,"Full HD",Sencor,Ubuntu,130.214.251.254
2751,HFW3qJap,Paris,4K,Sencor,Android,108.120.112.88
2752,Jr4TBkmA,Berlin,"Full HD",LG,Ubuntu,237.176.113.225
2753,D2pNLn,Warsaw,"Full HD",Samsung,Ubuntu,217.91.161.142
2754,U7M3PKL,Paris,4K,Sencor,Ubuntu,80.85.73.183
2755,LVJuwmdx,Paris,4K,Samsung,Android,87.129.234.89
2756,Vbsx6t,Amsterdam,4K,Sencor,Linux,139.67.153.26
2757,xDYiT,Paris,"Full HD",Sencor,Android,176.117.26.213
2758,dEilJ4B9,Amsterdam,4K,Samsung,Ubuntu,110.43.35.89
2759,JhMpxK,Warsaw,"Full HD",LG,Android,79.60.219.75
2760,HbJlW7,Amsterdam,4K,Samsung,Linux,217.193.94.138
2761,wDgCv,Berlin,"Full HD",Samsung,Android,72.230.22.63
2762,38tk20fzH,Berlin,4K,Sencor,Android,143.152.163.39
2763,Xb13o,Berlin,4K,LG,Linux,163.216.73.163
2764,ByPQ2J,Amsterdam,4K,Sencor,Linux,219.182.6.2
2765,yRK1dJVfl,Amsterdam,"Full HD",Philips,Android,194.121.80.249
2766,axm5X6vA,Amsterdam,4K,Philips,Linux,12.176.58.80
2767,4Zxtlw,Berlin,"Full HD",Samsung,Ubuntu,196.211.217.138
2768,iaYdZ3B,Paris,4K,Philips,Ubuntu,1.93.205.0
2769,VIfrsu5Cja,Warsaw,"Full HD",Philips,Ubuntu,81.222.101.217
2770,s4Kxnpt,Berlin,"Full HD",Philips,Linux,178.87.148.223
2771,wIgFeKA06,Warsaw,4K,LG,Ubuntu,32.30.136.57
2772,MHQjJD,Warsaw,4K,Philips,Android,172.155.185.134
2773,9wfN1,Paris,4K,LG,Ubuntu,201.37.69.181
2774,4DVqRhXaus,Paris,4K,Sencor,Android,115.231.42.169
2775,WPcEBVFagD,Warsaw,4K,Samsung,Android,194.24.232.6
2776,1o2dRjfpga,Amsterdam,"Full HD",LG,Ubuntu,139.236.86.34
2777,HhRdj,Berlin,"Full HD",LG,Linux,231.170.34.78
2778,827imLshg,Warsaw,"Full HD",Sencor,Linux,181.42.195.30
2779,3idlyB,Amsterdam,4K,Samsung,Android,74.223.249.233
2780,o9PTJIEUH1,Berlin,"Full HD",Sencor,Android,178.86.21.25
2781,h7Vlzx,Berlin,4K,Sencor,Android,39.53.182.93
2782,DFO6AIJ,Amsterdam,4K,Samsung,Ubuntu,219.57.145.106
2783,NsdtB,Warsaw,4K,Sencor,Ubuntu,3.107.108.55
2784,vKxOwY,Amsterdam,"Full HD",Philips,Android,151.142.44.140
2785,5qm32Acw,Amsterdam,4K,Samsung,Android,14.210.201.11
2786,oAMKX,Warsaw,"Full HD",LG,Linux,63.185.115.87
2787,yzl7ZBDMdw,Berlin,4K,Philips,Linux,142.187.84.56
2788,AU7jxL,Berlin,4K,Samsung,Ubuntu,132.6.104.222
2789,g4H8hDLCTi,Paris,4K,Philips,Linux,252.213.117.142
2790,akIOLo,Warsaw,4K,Philips,Android,35.224.143.136
2791,2zwZpKMu7y,Amsterdam,4K,Samsung,Ubuntu,33.28.235.47
2792,jWuaHmt8G,Berlin,"Full HD",LG,Linux,174.91.60.51
2793,k9gHtFn,Amsterdam,"Full HD",LG,Linux,156.64.179.142
2794,z3U25n,Amsterdam,"Full HD",Samsung,Android,59.91.203.134
2795,LFYsjU,Paris,"Full HD",Philips,Android,146.246.77.142
2796,lr5Zpn9vqw,Warsaw,4K,Samsung,Ubuntu,196.151.126.147
2797,OzRG2,Amsterdam,"Full HD",Samsung,Android,209.12.0.121
2798,uFCnzGW,Warsaw,4K,LG,Android,151.25.186.245
2799,xHM8qT,Paris,"Full HD",Samsung,Android,0.233.230.149
2800,M0qJPtfx71,Berlin,"Full HD",Philips,Ubuntu,67.242.85.108
2801,2GyVMIWpDF,Berlin,4K,LG,Ubuntu,73.78.114.17
2802,HzWlq1Qg,Paris,4K,Sencor,Linux,238.115.199.179
2803,6xCwODzI8,Paris,4K,LG,Linux,132.241.109.179
2804,lVPbKW,Warsaw,"Full HD",Samsung,Ubuntu,54.77.39.99
2805,7gFCOhoI,Amsterdam,4K,LG,Linux,60.32.194.23
2806,qCTw3it,Berlin,4K,Samsung,Linux,67.234.52.35
2807,H4IdjFoYp0,Warsaw,"Full HD",Philips,Android,124.15.61.186
